num_epochs	QuantType	BPW	NormType	batch_size	learning_rate	lr_decay	step_size	network_width1	network_width2	network_width3	Parameters	Totalbits	Accuracy/train	Accuracy/test	Loss/train	Loss/test
30	Binary	1	RMS	128	0.001	0.1	10	64	64	64	25216	25216	97.61499786	96.77999878	0.075120606	0.111203559
30	Binary	1	RMS	128	0.001	0.1	10	32	32	32	10560	10560	94.74500275	94.55000305	0.18030183	0.19052586
30	Binary	1	RMS	128	0.001	0.1	10	48	48	48	17376	17376	96.86000061	96.41999817	0.10408707	0.127519086
30	Binary	1	RMS	128	0.001	0.1	10	64	64	64	25216	25216	97.74833679	97.01999664	0.071593277	0.107530497
30	Binary	1	RMS	128	0.001	0.1	10	80	80	80	34080	34080	98.29666901	97.18000031	0.055908281	0.093226478
30	None	32	RMS	128	0.001	0.1	10	48	48	48	17376	556032	99.66999817	97.61000061	0.016479535	0.081654519
30	None	32	RMS	128	0.001	0.1	10	64	64	64	25216	806912	99.88500214	98.12000275	0.007095081	0.06810613
30	None	32	RMS	128	0.001	0.1	10	64	64	64	25216	806912	99.87666321	98.08999634	0.007548976	0.075958706
30	None	32	RMS	128	0.001	0.1	10	64	64	64	25216	806912	99.89499664	98.22000122	0.00649053	0.071967855
30	Ternary	1.6	RMS	128	0.001	0.1	10	64	64	64	25216	40345.60156	98.82666779	97.66000366	0.039240263	0.080099061
30	Ternary	1.6	RMS	128	0.001	0.1	10	128	128	128	66816	106905.6016	99.76166534	98.34999847	0.0100767	0.06396731
30	Ternary	1.6	RMS	128	0.001	0.1	10	160	160	160	93760	150016	99.90000153	98.37999725	0.004819755	0.061947428
30	Ternary	1.6	RMS	128	0.001	0.1	10	24	24	24	7536	12057.59961	95.5083313	95.05999756	0.157431617	0.172766447
30	Ternary	1.6	RMS	128	0.001	0.1	10	96	96	96	43968	70348.79688	99.5083313	97.86000061	0.018384641	0.074451007
30	Ternary	1.6	RMS	128	0.001	0.1	10	32	32	32	10560	16896	96.65499878	96.08000183	0.113325745	0.129083708
30	Ternary	1.6	RMS	128	0.001	0.1	10	48	48	48	17376	27801.6	97.95999908	97.11000061	0.06503389	0.096156642
30	Ternary	1.6	RMS	128	0.001	0.1	10	64	64	64	25216	40345.6	98.68499756	97.38999939	0.042172994	0.08866106
30	Ternary	1.6	RMS	128	0.001	0.1	10	80	80	80	34080	54528	99.1783371	97.77999878	0.027794939	0.073586062
